government-domain,org_original.x,org_original.y,curie,score
curdridge-pc.gov.uk,Curdridge Parish Council,Adur District Council,local-authority-eng:ADU,0.18890977443609036
accounts-commission.gov.uk,Accounts Commission,Airports Commission,government-organisation:OT494,0.19590643274853803
electoralofficeni.gov.uk,Electoral Office for Northern Ireland,Arts Council of Northern Ireland,government-organisation:EA740,0.1949334190713502
arclidparishcouncil.gov.uk,Arclid Parish Council,Arun District Council,local-authority-eng:ARU,0.17600373482726428
ruckinge-pc.gov.uk,Ruckinge Parish Council,Arun District Council,local-authority-eng:ARU,0.19415688980906376
basildon.gov.uk,Basildon District Council,Ashfield District Council,local-authority-eng:ASH,0.08000000000000007
shinfieldparish.gov.uk,Shinfield Parish Council,Ashfield District Council,local-authority-eng:ASH,0.19817460317460323
baildontowncouncil.gov.uk,Baildon Town Council,Basildon Borough Council,local-authority-eng:BAI,0.19624183006535956
ballymoney.gov.uk,Ballymoney Borough Council,Basildon Borough Council,local-authority-eng:BAI,0.10576923076923084
bickleigh.gov.uk,Bickleigh Parish Council,Birmingham City Council,local-authority-eng:BIR,0.19283413848631248
blackpool.gov.uk,Blackpool Council,Blackpool Borough Council,local-authority-eng:BPL,0.13607843137254905
lbwf.gov.uk,Waltham Forest London Borough Council,Bolton Metropolitan Borough Council,local-authority-eng:BOL,0.17179322179322187
niprisonerombudsman.gov.uk,Prisoner Ombudsman for Northern Ireland,Boundary Commission for Northern Ireland,government-organisation:OT428,0.16456679894179904
brackleynorthants-tc.gov.uk,Brackley Town Council,Bracknell Forest Council,local-authority-eng:BRC,0.1362781954887219
bracknell-forest.gov.uk,Bracknell Forest Borough Council,Bracknell Forest Council,local-authority-eng:BRC,0.10416666666666674
bracknelltowncouncil.gov.uk,Bracknell Town Council,Bracknell Forest Council,local-authority-eng:BRC,0.1441919191919192
chickerell-tc.gov.uk,Chickerell Town Council,Bracknell Forest Council,local-authority-eng:BRC,0.18881896770912787
macclesfield-tc.gov.uk,Macclesfield Town Council,Bracknell Forest Council,local-authority-eng:BRC,0.1972222222222223
brent.gov.uk,Brent London Borough Council,Brentwood Borough Council,local-authority-eng:BRW,0.1581746031746032
willinghamparishcouncil.gov.uk,Willingham Parish Council,British Hallmarking Council,government-organisation:PB124,0.16300590445517993
winteringham-pc.gov.uk,Winteringham Parish Council,British Hallmarking Council,government-organisation:PB124,0.1784755770263018
brinsworthparishcouncil.gov.uk,Brinsworth Parish Council,British Potato Council,government-organisation:OT887,0.19562998405103682
brockworth-pc.gov.uk,Brockworth Parish Council,British Potato Council,government-organisation:OT887,0.17808612440191396
dittonparishcouncil.gov.uk,Ditton Parish Council,British Potato Council,government-organisation:OT887,0.19123566491987543
holbeton-pc.gov.uk,Holbeton Parish Council,British Potato Council,government-organisation:OT887,0.19114485819291316
hortonparishcouncil.gov.uk,Horton Parish Council,British Potato Council,government-organisation:OT887,0.1822991822991823
woottonparishcouncil.gov.uk,Wootton Parish Council,British Potato Council,government-organisation:OT887,0.17862838915470503
buckingham-tc.gov.uk,Buckingham Town Council,Buckinghamshire County Council,local-authority-eng:BKM,0.18671497584541075
ceredigion.gov.uk,Ceredigion County Council,Buckinghamshire County Council,local-authority-eng:BKM,0.18191919191919204
axbridge-tc.gov.uk,Axbridge Town Council,Cambridge City Council,local-authority-eng:CAB,0.1980731686614039
slimbridge-pc.gov.uk,Slimbridge Parish Council,Cambridge City Council,local-authority-eng:CAB,0.18171717171717183
cambridgeshire-pcc.gov.uk,Cambridgeshire Police Authority,Cambridgeshire County Council,local-authority-eng:CAM,0.19524008157211714
currie-scc.gov.uk,Currie Community Council,Cambridgeshire County Council,local-authority-eng:CAM,0.16884360849878088
pembridgeparishcouncil.gov.uk,Pembridge Parish Council,Cambridgeshire County Council,local-authority-eng:CAM,0.19914663880181127
ecclesfield-pc.gov.uk,Ecclesfield Parish Council,Carlisle City Council,local-authority-eng:CAR,0.19166506008611284
chandlersford-pc.gov.uk,Chandlersford Parish Council,Central Bedfordshire Council,local-authority-eng:CBF,0.15773809523809523
colerne-pc.gov.uk,Colerne Parish Council,Central Bedfordshire Council,local-authority-eng:CBF,0.18578643578643583
crowboroughtowncouncil.gov.uk,Crowborough Town Council,Charnwood Borough Council,local-authority-eng:CHA,0.15868686868686877
bearstedparishcouncil.gov.uk,Bearsted Parish Council,Cheshire East Council,local-authority-eng:CHE,0.17563837129054516
clentparishcouncil.gov.uk,Clent Parish Council,Cheshire East Council,local-authority-eng:CHE,0.17231559290382825
coxhoeparishcouncil.gov.uk,Coxhoe Parish Council,Cheshire East Council,local-authority-eng:CHE,0.1858076563958917
datchetparishcouncil.gov.uk,Datchet Parish Council,Cheshire East Council,local-authority-eng:CHE,0.1915584415584417
elstead-pc.gov.uk,Elstead Parish Council,Cheshire East Council,local-authority-eng:CHE,0.1730399230399231
eshparishcouncil.gov.uk,Esh Parish Council,Cheshire East Council,local-authority-eng:CHE,0.16044195455960164
felsted-pc.gov.uk,Felsted Parish Council,Cheshire East Council,local-authority-eng:CHE,0.1730399230399231
hathersageparishcouncil.gov.uk,Hathersage Parish Council,Cheshire East Council,local-authority-eng:CHE,0.18192147034252293
pewsey-pc.gov.uk,Pewsey Parish Council,Cheshire East Council,local-authority-eng:CHE,0.19561157796451922
sheetparishcouncil.gov.uk,Sheet Parish Council,Cheshire East Council,local-authority-eng:CHE,0.13613199665831244
edlesborough-pc.gov.uk,Edlesborough Parish Council,Chesterfield Borough Council,local-authority-eng:CHS,0.18187830687830686
chichestercity.gov.uk,Chichester City Council,Chichester District Council,local-authority-eng:CHI,0.15197872444249272
chorleywood-pc.gov.uk,Chorleywood Parish Council,Chorley Borough Council,local-authority-eng:CHO,0.17873467112597552
lincoln.gov.uk,Lincoln City Council,City of Lincoln Council,local-authority-eng:LIC,0.07500000000000007
camelford-tc.gov.uk,Camelford Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.19055944055944063
clitheroetowncouncil.gov.uk,Clitheroe Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.16655566655566645
cotgrave-tc.gov.uk,Cotgrave Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.15946275946275956
ilfracombetowncouncil.gov.uk,Ilfracombe Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.17245315071402034
nailsworthtowncouncil.gov.uk,Nailsworth Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.17040133779264222
northwichtowncouncil.gov.uk,Northwich Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.18782971414550376
olvestonparishcouncil.gov.uk,Olveston Parish Council,City of Wolverhampton Council,local-authority-eng:WLV,0.18832616658703616
penworthamtowncouncil.gov.uk,Penwortham Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.19540133779264213
petworth-tc.gov.uk,Petworth Town Council,City of Wolverhampton Council,local-authority-eng:WLV,0.1964794464794466
bluelight.gov.uk,Devon and Cornwall Constabulary,Civil Nuclear Constabulary,government-organisation:OT1063,0.18876802210135546
chard.gov.uk,Chard Town Council,Cornwall Council,local-authority-eng:CON,0.17526455026455046
LlwchwrTownCouncil.gov.uk,Llwchwr Town Council,Cornwall Council,local-authority-eng:CON,0.19305555555555554
marchtowncouncil.gov.uk,March Town Council,Cornwall Council,local-authority-eng:CON,0.19907407407407418
