government-domain,org_original.x,org_original.y,curie,score
aberdeencityandshire-sdpa.gov.uk,"Aberdeen City Council","The Aberdeen City Council",local-authority-sct:ABE,0.15650793650793648
aberdeenshire.gov.uk,"Aberdeenshire Council","The Aberdeenshire Council",local-authority-sct:ABD,0.15650793650793648
adjudicators.gov.uk,"The Adjudicator's Office","The Adjudicator’s Office",government-organisation:OT433,0.01388888888888884
advocategeneral.gov.uk,"Office of the Advocate General","Office of the Advocate General for Scotland",government-organisation:D20,0.09375
afbini.gov.uk,"Department of Agriculture, Environment and Rural Affairs","Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",government-organisation:OT1178,0.0871794871794872
angus.gov.uk,"Angus Council","The Angus Council",local-authority-sct:ANS,0.15535444947209665
appealserviceni.gov.uk,"Department for Communities","Department for Communities (Northern Ireland)",government-organisation:OT1173,0.14529914529914545
argyll-bute.gov.uk,"Argyll and Bute Council","The Argyll and Bute Council",local-authority-sct:AGB,0.1632341723874905
attorneygeneralni.gov.uk,"The Executive Office","The Executive Office (Northern Ireland)",government-organisation:OT1179,0.15315315315315325
ayrshire.gov.uk,"South Ayrshire Council","The South Ayrshire Council",local-authority-sct:SAY,0.16491841491841486
blackpool.gov.uk,"Blackpool Council","Blackpool Borough Council",local-authority-eng:BPL,0.13607843137254905
bracknell-forest.gov.uk,"Bracknell Forest Borough Council","Bracknell Forest Council",local-authority-eng:BRC,0.10416666666666674
centralscotland-vjb.gov.uk,"Clackmannanshire Council","The Clackmannanshire Council",local-authority-sct:CLK,0.14484126984126977
charity-commission.gov.uk,"Charity Commission","The Charity Commission",government-organisation:D98,0.12542087542087543
childrenscommissioner.gov.uk,"The Office of the Children's Commissioner","Office of the Children's Commissioner",government-organisation:PB413,0.18408220132358055
cityofworcester.gov.uk,"City of Worcester Council","Worcester City Council",local-authority-eng:WOC,0.10606060606060619
cncbuildingcontrol.gov.uk,"South Norfolk Council","South Norfolk District Council",local-authority-eng:SNO,0.14761904761904776
coronersni.gov.uk,"Northern Ireland Courts and Tribunals Service","Northern Ireland Court Service",government-organisation:EA725,0.12276422764227646
csl.gov.uk,"Food and Environment Research Agency","The Food and Environment Research Agency",government-organisation:EA56,0.1776620370370371
dab-vjb.gov.uk,"West Dunbartonshire Council","The West Dunbartonshire Council",local-authority-sct:WDU,0.1664675428116288
doeni.gov.uk,"Department of the Environment","Department of the Environment (Northern Ireland)",government-organisation:D591,0.14529914529914545
drdni.gov.uk,"Department for Infrastructure","Department for Infrastructure (Northern Ireland)",government-organisation:OT1176,0.13492063492063489
dumgal.gov.uk,"Dumfries and Galloway Council","The Dumfries and Galloway Council",local-authority-sct:DGY,0.15931034482758633
east-ayrshire.gov.uk,"East Ayrshire Council","The East Ayrshire Council",local-authority-sct:EAY,0.15650793650793648
eastdunbarton.gov.uk,"East Dunbartonshire Council","The East Dunbartonshire Council",local-authority-sct:EDU,0.1664675428116288
